candidate,party,office,district,town,votes,precinct
Terrie E. Wood,Republican Party,Secretary of the State,,Monroe,29,Stepney Elementary School
Jayme Stevenson,Republican Party,U.S. House,4,Monroe,45,Stepney Elementary School
Michael Ted Goldstein,Republican Party,U.S. House,4,Monroe,23,Stepney Elementary School
Leora R. Levy,Republican Party,U.S. Senate,,Monroe,33,Stepney Elementary School
Peter Lumaj,Republican Party,U.S. Senate,,Monroe,11,Stepney Elementary School
Themis Klarides,Republican Party,U.S. Senate,,Monroe,29,Stepney Elementary School
Maritza Bond,Democratic Party,Secretary of the State,,Sterling,7,Sterling Municipal Building
Stephanie Thomas,Democratic Party,Secretary of the State,,Sterling,32,Sterling Municipal Building
Dita Bhargava,Democratic Party,Treasurer,,Sterling,9,Sterling Municipal Building
Erick Russell,Democratic Party,Treasurer,,Sterling,21,Sterling Municipal Building
Karen Dubois-Walton,Democratic Party,Treasurer,,Sterling,9,Sterling Municipal Building
Dominic Rapini,Republican Party,Secretary of the State,,Sterling,58,Sterling Municipal Building
Terrie E. Wood,Republican Party,Secretary of the State,,Sterling,42,Sterling Municipal Building
Leora R. Levy,Republican Party,U.S. Senate,,Sterling,62,Sterling Municipal Building
Peter Lumaj,Republican Party,U.S. Senate,,Sterling,20,Sterling Municipal Building
Themis Klarides,Republican Party,U.S. Senate,,Sterling,25,Sterling Municipal Building
Maritza Bond,Democratic Party,Secretary of the State,,Stamford,23,Stillmeadow School
Stephanie Thomas,Democratic Party,Secretary of the State,,Stamford,99,Stillmeadow School
Dita Bhargava,Democratic Party,Treasurer,,Stamford,38,Stillmeadow School
Erick Russell,Democratic Party,Treasurer,,Stamford,63,Stillmeadow School
Karen Dubois-Walton,Democratic Party,Treasurer,,Stamford,23,Stillmeadow School
Dominic Rapini,Republican Party,Secretary of the State,,Stamford,43,Stillmeadow School
Terrie E. Wood,Republican Party,Secretary of the State,,Stamford,31,Stillmeadow School
Jayme Stevenson,Republican Party,U.S. House,4,Stamford,33,Stillmeadow School
Michael Ted Goldstein,Republican Party,U.S. House,4,Stamford,42,Stillmeadow School
Leora R. Levy,Republican Party,U.S. Senate,,Stamford,42,Stillmeadow School
Peter Lumaj,Republican Party,U.S. Senate,,Stamford,9,Stillmeadow School
Themis Klarides,Republican Party,U.S. Senate,,Stamford,25,Stillmeadow School
Maritza Bond,Democratic Party,Secretary of the State,,Stonington,31,Stonington Fire House
Stephanie Thomas,Democratic Party,Secretary of the State,,Stonington,197,Stonington Fire House
Dita Bhargava,Democratic Party,Treasurer,,Stonington,55,Stonington Fire House
Erick Russell,Democratic Party,Treasurer,,Stonington,128,Stonington Fire House
Karen Dubois-Walton,Democratic Party,Treasurer,,Stonington,42,Stonington Fire House
Dominic Rapini,Republican Party,Secretary of the State,,Stonington,40,Stonington Fire House
Terrie E. Wood,Republican Party,Secretary of the State,,Stonington,59,Stonington Fire House
Leora R. Levy,Republican Party,U.S. Senate,,Stonington,30,Stonington Fire House
Peter Lumaj,Republican Party,U.S. Senate,,Stonington,8,Stonington Fire House
Themis Klarides,Republican Party,U.S. Senate,,Stonington,65,Stonington Fire House
Maritza Bond,Democratic Party,Secretary of the State,,Stonington,39,Stonington Middle School
Stephanie Thomas,Democratic Party,Secretary of the State,,Stonington,176,Stonington Middle School
Dita Bhargava,Democratic Party,Treasurer,,Stonington,44,Stonington Middle School
Erick Russell,Democratic Party,Treasurer,,Stonington,125,Stonington Middle School
Karen Dubois-Walton,Democratic Party,Treasurer,,Stonington,44,Stonington Middle School
Dominic Rapini,Republican Party,Secretary of the State,,Stonington,60,Stonington Middle School
Terrie E. Wood,Republican Party,Secretary of the State,,Stonington,66,Stonington Middle School
Leora R. Levy,Republican Party,U.S. Senate,,Stonington,58,Stonington Middle School
Peter Lumaj,Republican Party,U.S. Senate,,Stonington,10,Stonington Middle School
Themis Klarides,Republican Party,U.S. Senate,,Stonington,61,Stonington Middle School
Maritza Bond,Democratic Party,Secretary of the State,,Bethel,1,Stony Hill Fire House -2
Maritza Bond,Democratic Party,Secretary of the State,,Bethel,18,Stony Hill Fire House -2
Stephanie Thomas,Democratic Party,Secretary of the State,,Bethel,14,Stony Hill Fire House -2
Stephanie Thomas,Democratic Party,Secretary of the State,,Bethel,76,Stony Hill Fire House -2
Dita Bhargava,Democratic Party,Treasurer,,Bethel,2,Stony Hill Fire House -2
Dita Bhargava,Democratic Party,Treasurer,,Bethel,24,Stony Hill Fire House -2
Erick Russell,Democratic Party,Treasurer,,Bethel,14,Stony Hill Fire House -2
Erick Russell,Democratic Party,Treasurer,,Bethel,47,Stony Hill Fire House -2
Karen Dubois-Walton,Democratic Party,Treasurer,,Bethel,0,Stony Hill Fire House -2
Karen Dubois-Walton,Democratic Party,Treasurer,,Bethel,22,Stony Hill Fire House -2
Dominic Rapini,Republican Party,Secretary of the State,,Bethel,14,Stony Hill Fire House -2
Dominic Rapini,Republican Party,Secretary of the State,,Bethel,61,Stony Hill Fire House -2
Terrie E. Wood,Republican Party,Secretary of the State,,Bethel,13,Stony Hill Fire House -2
Terrie E. Wood,Republican Party,Secretary of the State,,Bethel,54,Stony Hill Fire House -2
Leora R. Levy,Republican Party,U.S. Senate,,Bethel,22,Stony Hill Fire House -2
Leora R. Levy,Republican Party,U.S. Senate,,Bethel,59,Stony Hill Fire House -2
Peter Lumaj,Republican Party,U.S. Senate,,Bethel,2,Stony Hill Fire House -2
Peter Lumaj,Republican Party,U.S. Senate,,Bethel,16,Stony Hill Fire House -2
Themis Klarides,Republican Party,U.S. Senate,,Bethel,6,Stony Hill Fire House -2
Themis Klarides,Republican Party,U.S. Senate,,Bethel,47,Stony Hill Fire House -2
Maritza Bond,Democratic Party,Secretary of the State,,Fairfield,42,Stratfield School
Maritza Bond,Democratic Party,Secretary of the State,,Fairfield,2,Stratfield School
Stephanie Thomas,Democratic Party,Secretary of the State,,Fairfield,265,Stratfield School
Stephanie Thomas,Democratic Party,Secretary of the State,,Fairfield,9,Stratfield School
Dita Bhargava,Democratic Party,Treasurer,,Fairfield,65,Stratfield School
Dita Bhargava,Democratic Party,Treasurer,,Fairfield,2,Stratfield School
Erick Russell,Democratic Party,Treasurer,,Fairfield,203,Stratfield School
Erick Russell,Democratic Party,Treasurer,,Fairfield,9,Stratfield School
Karen Dubois-Walton,Democratic Party,Treasurer,,Fairfield,0,Stratfield School
Karen Dubois-Walton,Democratic Party,Treasurer,,Fairfield,39,Stratfield School
Dominic Rapini,Republican Party,Secretary of the State,,Fairfield,119,Stratfield School
Dominic Rapini,Republican Party,Secretary of the State,,Fairfield,0,Stratfield School
Terrie E. Wood,Republican Party,Secretary of the State,,Fairfield,62,Stratfield School
Terrie E. Wood,Republican Party,Secretary of the State,,Fairfield,2,Stratfield School
Jayme Stevenson,Republican Party,U.S. House,4,Fairfield,0,Stratfield School
Jayme Stevenson,Republican Party,U.S. House,4,Fairfield,101,Stratfield School
Michael Ted Goldstein,Republican Party,U.S. House,4,Fairfield,2,Stratfield School
Michael Ted Goldstein,Republican Party,U.S. House,4,Fairfield,78,Stratfield School
Leora R. Levy,Republican Party,U.S. Senate,,Fairfield,1,Stratfield School
Leora R. Levy,Republican Party,U.S. Senate,,Fairfield,77,Stratfield School
Peter Lumaj,Republican Party,U.S. Senate,,Fairfield,21,Stratfield School
Peter Lumaj,Republican Party,U.S. Senate,,Fairfield,1,Stratfield School
Themis Klarides,Republican Party,U.S. Senate,,Fairfield,87,Stratfield School
Themis Klarides,Republican Party,U.S. Senate,,Fairfield,0,Stratfield School
Maritza Bond,Democratic Party,Secretary of the State,,Stratford,1,Stratford High School 121 23
Stephanie Thomas,Democratic Party,Secretary of the State,,Stratford,3,Stratford High School 121 23
Dennis Bradley,Democratic Party,State Senate,23,Stratford,1,Stratford High School 121 23
Herron Gaston,Democratic Party,State Senate,23,Stratford,3,Stratford High School 121 23
Dita Bhargava,Democratic Party,Treasurer,,Stratford,2,Stratford High School 121 23
Erick Russell,Democratic Party,Treasurer,,Stratford,1,Stratford High School 121 23
Karen Dubois-Walton,Democratic Party,Treasurer,,Stratford,1,Stratford High School 121 23
Maritza Bond,Democratic Party,Secretary of the State,,Stratford,30,Stratford High School 2nd
Stephanie Thomas,Democratic Party,Secretary of the State,,Stratford,118,Stratford High School 2nd
Dita Bhargava,Democratic Party,Treasurer,,Stratford,27,Stratford High School 2nd
Erick Russell,Democratic Party,Treasurer,,Stratford,97,Stratford High School 2nd
Karen Dubois-Walton,Democratic Party,Treasurer,,Stratford,25,Stratford High School 2nd
Dominic Rapini,Republican Party,Secretary of the State,,Stratford,40,Stratford High School 2nd
Terrie E. Wood,Republican Party,Secretary of the State,,Stratford,53,Stratford High School 2nd
Leora R. Levy,Republican Party,U.S. Senate,,Stratford,48,Stratford High School 2nd
Peter Lumaj,Republican Party,U.S. Senate,,Stratford,10,Stratford High School 2nd
Themis Klarides,Republican Party,U.S. Senate,,Stratford,40,Stratford High School 2nd
Maritza Bond,Democratic Party,Secretary of the State,,Stamford,32,Strawberry Hill School -Rear
Stephanie Thomas,Democratic Party,Secretary of the State,,Stamford,135,Strawberry Hill School -Rear
Dita Bhargava,Democratic Party,Treasurer,,Stamford,36,Strawberry Hill School -Rear
Erick Russell,Democratic Party,Treasurer,,Stamford,95,Strawberry Hill School -Rear
Karen Dubois-Walton,Democratic Party,Treasurer,,Stamford,34,Strawberry Hill School -Rear
Dominic Rapini,Republican Party,Secretary of the State,,Stamford,26,Strawberry Hill School -Rear
Terrie E. Wood,Republican Party,Secretary of the State,,Stamford,27,Strawberry Hill School -Rear
Jayme Stevenson,Republican Party,U.S. House,4,Stamford,35,Strawberry Hill School -Rear
Michael Ted Goldstein,Republican Party,U.S. House,4,Stamford,18,Strawberry Hill School -Rear
Leora R. Levy,Republican Party,U.S. Senate,,Stamford,37,Strawberry Hill School -Rear
Peter Lumaj,Republican Party,U.S. Senate,,Stamford,7,Strawberry Hill School -Rear
Themis Klarides,Republican Party,U.S. Senate,,Stamford,15,Strawberry Hill School -Rear
Maritza Bond,Democratic Party,Secretary of the State,,Southington,26,Strong School
Stephanie Thomas,Democratic Party,Secretary of the State,,Southington,85,Strong School
Dita Bhargava,Democratic Party,Treasurer,,Southington,27,Strong School
Erick Russell,Democratic Party,Treasurer,,Southington,68,Strong School
Karen Dubois-Walton,Democratic Party,Treasurer,,Southington,16,Strong School
Dominic Rapini,Republican Party,Secretary of the State,,Southington,89,Strong School
Terrie E. Wood,Republican Party,Secretary of the State,,Southington,54,Strong School
Leora R. Levy,Republican Party,U.S. Senate,,Southington,101,Strong School
Peter Lumaj,Republican Party,U.S. Senate,,Southington,16,Strong School
Themis Klarides,Republican Party,U.S. Senate,,Southington,42,Strong School
Maritza Bond,Democratic Party,Secretary of the State,,Suffield,101,Suffield Middle School
Stephanie Thomas,Democratic Party,Secretary of the State,,Suffield,263,Suffield Middle School
Dita Bhargava,Democratic Party,Treasurer,,Suffield,92,Suffield Middle School
Erick Russell,Democratic Party,Treasurer,,Suffield,216,Suffield Middle School
Karen Dubois-Walton,Democratic Party,Treasurer,,Suffield,59,Suffield Middle School
Dominic Rapini,Republican Party,Secretary of the State,,Suffield,286,Suffield Middle School
Terrie E. Wood,Republican Party,Secretary of the State,,Suffield,189,Suffield Middle School
Leora R. Levy,Republican Party,U.S. Senate,,Suffield,278,Suffield Middle School
Peter Lumaj,Republican Party,U.S. Senate,,Suffield,45,Suffield Middle School
Themis Klarides,Republican Party,U.S. Senate,,Suffield,194,Suffield Middle School
Maritza Bond,Democratic Party,Secretary of the State,,Watertown,17,Swift Middle School
Stephanie Thomas,Democratic Party,Secretary of the State,,Watertown,44,Swift Middle School
Dita Bhargava,Democratic Party,Treasurer,,Watertown,11,Swift Middle School
Erick Russell,Democratic Party,Treasurer,,Watertown,37,Swift Middle School
Karen Dubois-Walton,Democratic Party,Treasurer,,Watertown,13,Swift Middle School
Dominic Rapini,Republican Party,Secretary of the State,,Watertown,123,Swift Middle School
Terrie E. Wood,Republican Party,Secretary of the State,,Watertown,65,Swift Middle School
Leora R. Levy,Republican Party,U.S. Senate,,Watertown,96,Swift Middle School
Peter Lumaj,Republican Party,U.S. Senate,,Watertown,13,Swift Middle School
Themis Klarides,Republican Party,U.S. Senate,,Watertown,93,Swift Middle School
Maritza Bond,Democratic Party,Secretary of the State,,Simsbury,97,Tariffville School
Stephanie Thomas,Democratic Party,Secretary of the State,,Simsbury,241,Tariffville School
Eric Wellman,Democratic Party,State House,16,Simsbury,147,Tariffville School
Melissa Osborne,Democratic Party,State House,16,Simsbury,199,Tariffville School
Dita Bhargava,Democratic Party,Treasurer,,Simsbury,87,Tariffville School
Erick Russell,Democratic Party,Treasurer,,Simsbury,208,Tariffville School
Karen Dubois-Walton,Democratic Party,Treasurer,,Simsbury,40,Tariffville School
Dominic Rapini,Republican Party,Secretary of the State,,Simsbury,64,Tariffville School
Terrie E. Wood,Republican Party,Secretary of the State,,Simsbury,52,Tariffville School
Leora R. Levy,Republican Party,U.S. Senate,,Simsbury,63,Tariffville School
Peter Lumaj,Republican Party,U.S. Senate,,Simsbury,9,Tariffville School
Themis Klarides,Republican Party,U.S. Senate,,Simsbury,51,Tariffville School
Maritza Bond,Democratic Party,Secretary of the State,,Trumbull,33,Tashua School 123
Stephanie Thomas,Democratic Party,Secretary of the State,,Trumbull,142,Tashua School 123
Dita Bhargava,Democratic Party,Treasurer,,Trumbull,54,Tashua School 123
Erick Russell,Democratic Party,Treasurer,,Trumbull,100,Tashua School 123
Karen Dubois-Walton,Democratic Party,Treasurer,,Trumbull,22,Tashua School 123
Dominic Rapini,Republican Party,Secretary of the State,,Trumbull,157,Tashua School 123
Terrie E. Wood,Republican Party,Secretary of the State,,Trumbull,73,Tashua School 123
Jayme Stevenson,Republican Party,U.S. House,4,Trumbull,149,Tashua School 123
Michael Ted Goldstein,Republican Party,U.S. House,4,Trumbull,83,Tashua School 123
Leora R. Levy,Republican Party,U.S. Senate,,Trumbull,123,Tashua School 123
Peter Lumaj,Republican Party,U.S. Senate,,Trumbull,16,Tashua School 123
Themis Klarides,Republican Party,U.S. Senate,,Trumbull,96,Tashua School 123
Maritza Bond,Democratic Party,Secretary of the State,,Westbrook,22,Teresa Mulvey Municipal Center - 1
Stephanie Thomas,Democratic Party,Secretary of the State,,Westbrook,88,Teresa Mulvey Municipal Center - 1
Dita Bhargava,Democratic Party,Treasurer,,Westbrook,32,Teresa Mulvey Municipal Center - 1
Erick Russell,Democratic Party,Treasurer,,Westbrook,65,Teresa Mulvey Municipal Center - 1
Karen Dubois-Walton,Democratic Party,Treasurer,,Westbrook,12,Teresa Mulvey Municipal Center - 1
Dominic Rapini,Republican Party,Secretary of the State,,Westbrook,92,Teresa Mulvey Municipal Center - 1
Terrie E. Wood,Republican Party,Secretary of the State,,Westbrook,56,Teresa Mulvey Municipal Center - 1
Leora R. Levy,Republican Party,U.S. Senate,,Westbrook,89,Teresa Mulvey Municipal Center - 1
Peter Lumaj,Republican Party,U.S. Senate,,Westbrook,6,Teresa Mulvey Municipal Center - 1
Themis Klarides,Republican Party,U.S. Senate,,Westbrook,67,Teresa Mulvey Municipal Center - 1
Maritza Bond,Democratic Party,Secretary of the State,,Westbrook,23,Teresa Mulvey Municipal Center - 2
Stephanie Thomas,Democratic Party,Secretary of the State,,Westbrook,63,Teresa Mulvey Municipal Center - 2
Dita Bhargava,Democratic Party,Treasurer,,Westbrook,23,Teresa Mulvey Municipal Center - 2
Erick Russell,Democratic Party,Treasurer,,Westbrook,49,Teresa Mulvey Municipal Center - 2
Karen Dubois-Walton,Democratic Party,Treasurer,,Westbrook,13,Teresa Mulvey Municipal Center - 2
Dominic Rapini,Republican Party,Secretary of the State,,Westbrook,78,Teresa Mulvey Municipal Center - 2
Terrie E. Wood,Republican Party,Secretary of the State,,Westbrook,44,Teresa Mulvey Municipal Center - 2
Leora R. Levy,Republican Party,U.S. Senate,,Westbrook,64,Teresa Mulvey Municipal Center - 2
Peter Lumaj,Republican Party,U.S. Senate,,Westbrook,6,Teresa Mulvey Municipal Center - 2
Themis Klarides,Republican Party,U.S. Senate,,Westbrook,72,Teresa Mulvey Municipal Center - 2
Maritza Bond,Democratic Party,Secretary of the State,,Plymouth,43,Terryville High School
Stephanie Thomas,Democratic Party,Secretary of the State,,Plymouth,109,Terryville High School
Dita Bhargava,Democratic Party,Treasurer,,Plymouth,30,Terryville High School
Erick Russell,Democratic Party,Treasurer,,Plymouth,92,Terryville High School
Karen Dubois-Walton,Democratic Party,Treasurer,,Plymouth,30,Terryville High School
Dominic Rapini,Republican Party,Secretary of the State,,Plymouth,332,Terryville High School
Terrie E. Wood,Republican Party,Secretary of the State,,Plymouth,210,Terryville High School
Aileen Abrams,Republican Party,State Representative,78,Plymouth,133,Terryville High School
Joe Hoxha,Republican Party,State Representative,78,Plymouth,437,Terryville High School
Leora R. Levy,Republican Party,U.S. Senate,,Plymouth,292,Terryville High School
Peter Lumaj,Republican Party,U.S. Senate,,Plymouth,66,Terryville High School
Themis Klarides,Republican Party,U.S. Senate,,Plymouth,210,Terryville High School
Maritza Bond,Democratic Party,Secretary of the State,,Southington,29,Thalberg School
Stephanie Thomas,Democratic Party,Secretary of the State,,Southington,53,Thalberg School
Dita Bhargava,Democratic Party,Treasurer,,Southington,21,Thalberg School
Erick Russell,Democratic Party,Treasurer,,Southington,47,Thalberg School
Karen Dubois-Walton,Democratic Party,Treasurer,,Southington,14,Thalberg School
Dominic Rapini,Republican Party,Secretary of the State,,Southington,116,Thalberg School
Terrie E. Wood,Republican Party,Secretary of the State,,Southington,60,Thalberg School
Leora R. Levy,Republican Party,U.S. Senate,,Southington,107,Thalberg School
Peter Lumaj,Republican Party,U.S. Senate,,Southington,21,Thalberg School
Themis Klarides,Republican Party,U.S. Senate,,Southington,52,Thalberg School
Maritza Bond,Democratic Party,Secretary of the State,,Groton,30,Thames River Magnet
Stephanie Thomas,Democratic Party,Secretary of the State,,Groton,135,Thames River Magnet
Dita Bhargava,Democratic Party,Treasurer,,Groton,31,Thames River Magnet
Erick Russell,Democratic Party,Treasurer,,Groton,100,Thames River Magnet
Karen Dubois-Walton,Democratic Party,Treasurer,,Groton,38,Thames River Magnet
Dominic Rapini,Republican Party,Secretary of the State,,Groton,35,Thames River Magnet
Terrie E. Wood,Republican Party,Secretary of the State,,Groton,44,Thames River Magnet
Leora R. Levy,Republican Party,U.S. Senate,,Groton,33,Thames River Magnet
Peter Lumaj,Republican Party,U.S. Senate,,Groton,9,Thames River Magnet
Themis Klarides,Republican Party,U.S. Senate,,Groton,40,Thames River Magnet
Maritza Bond,Democratic Party,Secretary of the State,,Tolland,22,The Gym At Tolland Recreation Center 1
Stephanie Thomas,Democratic Party,Secretary of the State,,Tolland,169,The Gym At Tolland Recreation Center 1
Dita Bhargava,Democratic Party,Treasurer,,Tolland,34,The Gym At Tolland Recreation Center 1
Erick Russell,Democratic Party,Treasurer,,Tolland,132,The Gym At Tolland Recreation Center 1
Karen Dubois-Walton,Democratic Party,Treasurer,,Tolland,23,The Gym At Tolland Recreation Center 1
Dominic Rapini,Republican Party,Secretary of the State,,Tolland,93,The Gym At Tolland Recreation Center 1
Terrie E. Wood,Republican Party,Secretary of the State,,Tolland,70,The Gym At Tolland Recreation Center 1
Leora R. Levy,Republican Party,U.S. Senate,,Tolland,93,The Gym At Tolland Recreation Center 1
Peter Lumaj,Republican Party,U.S. Senate,,Tolland,13,The Gym At Tolland Recreation Center 1
Themis Klarides,Republican Party,U.S. Senate,,Tolland,66,The Gym At Tolland Recreation Center 1
Maritza Bond,Democratic Party,Secretary of the State,,Tolland,7,The Gym At Tolland Recreation Center 3
Stephanie Thomas,Democratic Party,Secretary of the State,,Tolland,25,The Gym At Tolland Recreation Center 3
Dita Bhargava,Democratic Party,Treasurer,,Tolland,4,The Gym At Tolland Recreation Center 3
Erick Russell,Democratic Party,Treasurer,,Tolland,23,The Gym At Tolland Recreation Center 3
Karen Dubois-Walton,Democratic Party,Treasurer,,Tolland,4,The Gym At Tolland Recreation Center 3
Dominic Rapini,Republican Party,Secretary of the State,,Tolland,15,The Gym At Tolland Recreation Center 3
Terrie E. Wood,Republican Party,Secretary of the State,,Tolland,11,The Gym At Tolland Recreation Center 3
Leora R. Levy,Republican Party,U.S. Senate,,Tolland,11,The Gym At Tolland Recreation Center 3
Peter Lumaj,Republican Party,U.S. Senate,,Tolland,6,The Gym At Tolland Recreation Center 3
Themis Klarides,Republican Party,U.S. Senate,,Tolland,11,The Gym At Tolland Recreation Center 3
Dominic Rapini,Republican Party,Secretary of the State,,Hartford,1,The Learning Corridor - Gym
Terrie E. Wood,Republican Party,Secretary of the State,,Hartford,2,The Learning Corridor - Gym
Leora R. Levy,Republican Party,U.S. Senate,,Hartford,2,The Learning Corridor - Gym
Peter Lumaj,Republican Party,U.S. Senate,,Hartford,0,The Learning Corridor - Gym
Themis Klarides,Republican Party,U.S. Senate,,Hartford,1,The Learning Corridor - Gym
Maritza Bond,Democratic Party,Secretary of the State,,Hartford,39,The Learning Corridor-Gym
Stephanie Thomas,Democratic Party,Secretary of the State,,Hartford,59,The Learning Corridor-Gym
Dita Bhargava,Democratic Party,Treasurer,,Hartford,12,The Learning Corridor-Gym
Erick Russell,Democratic Party,Treasurer,,Hartford,50,The Learning Corridor-Gym
Karen Dubois-Walton,Democratic Party,Treasurer,,Hartford,24,The Learning Corridor-Gym
Maritza Bond,Democratic Party,Secretary of the State,,New Haven,21,The Shack
Stephanie Thomas,Democratic Party,Secretary of the State,,New Haven,55,The Shack
Dita Bhargava,Democratic Party,Treasurer,,New Haven,3,The Shack
Erick Russell,Democratic Party,Treasurer,,New Haven,38,The Shack
Karen Dubois-Walton,Democratic Party,Treasurer,,New Haven,38,The Shack
Dominic Rapini,Republican Party,Secretary of the State,,New Haven,2,The Shack
Terrie E. Wood,Republican Party,Secretary of the State,,New Haven,0,The Shack
Leora R. Levy,Republican Party,U.S. Senate,,New Haven,2,The Shack
Peter Lumaj,Republican Party,U.S. Senate,,New Haven,0,The Shack
Themis Klarides,Republican Party,U.S. Senate,,New Haven,1,The Shack
Maritza Bond,Democratic Party,Secretary of the State,,Meriden,22,Thomas Edison Middle School
Stephanie Thomas,Democratic Party,Secretary of the State,,Meriden,62,Thomas Edison Middle School
Dita Bhargava,Democratic Party,Treasurer,,Meriden,20,Thomas Edison Middle School
Erick Russell,Democratic Party,Treasurer,,Meriden,50,Thomas Edison Middle School
Karen Dubois-Walton,Democratic Party,Treasurer,,Meriden,15,Thomas Edison Middle School
Dominic Rapini,Republican Party,Secretary of the State,,Meriden,34,Thomas Edison Middle School
Terrie E. Wood,Republican Party,Secretary of the State,,Meriden,21,Thomas Edison Middle School
Leora R. Levy,Republican Party,U.S. Senate,,Meriden,40,Thomas Edison Middle School
Peter Lumaj,Republican Party,U.S. Senate,,Meriden,3,Thomas Edison Middle School
Themis Klarides,Republican Party,U.S. Senate,,Meriden,16,Thomas Edison Middle School
Maritza Bond,Democratic Party,Secretary of the State,,Bridgeport,80,Thomas Hooker School
Stephanie Thomas,Democratic Party,Secretary of the State,,Bridgeport,186,Thomas Hooker School
Dennis Bradley,Democratic Party,State Senate,23,Bridgeport,105,Thomas Hooker School
Herron Gaston,Democratic Party,State Senate,23,Bridgeport,182,Thomas Hooker School
Dita Bhargava,Democratic Party,Treasurer,,Bridgeport,56,Thomas Hooker School
Erick Russell,Democratic Party,Treasurer,,Bridgeport,170,Thomas Hooker School
Karen Dubois-Walton,Democratic Party,Treasurer,,Bridgeport,40,Thomas Hooker School
Dominic Rapini,Republican Party,Secretary of the State,,Bridgeport,16,Thomas Hooker School
Terrie E. Wood,Republican Party,Secretary of the State,,Bridgeport,17,Thomas Hooker School
Jayme Stevenson,Republican Party,U.S. House,4,Bridgeport,19,Thomas Hooker School
Michael Ted Goldstein,Republican Party,U.S. House,4,Bridgeport,16,Thomas Hooker School
Leora R. Levy,Republican Party,U.S. Senate,,Bridgeport,18,Thomas Hooker School
Peter Lumaj,Republican Party,U.S. Senate,,Bridgeport,3,Thomas Hooker School
Themis Klarides,Republican Party,U.S. Senate,,Bridgeport,15,Thomas Hooker School
Maritza Bond,Democratic Party,Secretary of the State,,Avon,30,Thompson Brook School
Stephanie Thomas,Democratic Party,Secretary of the State,,Avon,147,Thompson Brook School
Dita Bhargava,Democratic Party,Treasurer,,Avon,44,Thompson Brook School
Erick Russell,Democratic Party,Treasurer,,Avon,96,Thompson Brook School
Karen Dubois-Walton,Democratic Party,Treasurer,,Avon,37,Thompson Brook School
Dominic Rapini,Republican Party,Secretary of the State,,Avon,112,Thompson Brook School
Terrie E. Wood,Republican Party,Secretary of the State,,Avon,68,Thompson Brook School
Leora R. Levy,Republican Party,U.S. Senate,,Avon,88,Thompson Brook School
Peter Lumaj,Republican Party,U.S. Senate,,Avon,24,Thompson Brook School
Themis Klarides,Republican Party,U.S. Senate,,Avon,74,Thompson Brook School
Maritza Bond,Democratic Party,Secretary of the State,,Thompson,6,Thompson Library - Louis P Faucher Community Ctr
Stephanie Thomas,Democratic Party,Secretary of the State,,Thompson,38,Thompson Library - Louis P Faucher Community Ctr
Dita Bhargava,Democratic Party,Treasurer,,Thompson,9,Thompson Library - Louis P Faucher Community Ctr
Erick Russell,Democratic Party,Treasurer,,Thompson,25,Thompson Library - Louis P Faucher Community Ctr
Karen Dubois-Walton,Democratic Party,Treasurer,,Thompson,12,Thompson Library - Louis P Faucher Community Ctr
Maritza Bond,Democratic Party,Secretary of the State,,South Windsor,56,Timothy Edwards School -
Stephanie Thomas,Democratic Party,Secretary of the State,,South Windsor,204,Timothy Edwards School -
Dita Bhargava,Democratic Party,Treasurer,,South Windsor,67,Timothy Edwards School -
Erick Russell,Democratic Party,Treasurer,,South Windsor,147,Timothy Edwards School -
Karen Dubois-Walton,Democratic Party,Treasurer,,South Windsor,48,Timothy Edwards School -
Dominic Rapini,Republican Party,Secretary of the State,,South Windsor,95,Timothy Edwards School -
Terrie E. Wood,Republican Party,Secretary of the State,,South Windsor,93,Timothy Edwards School -
Leora R. Levy,Republican Party,U.S. Senate,,South Windsor,97,Timothy Edwards School -
Peter Lumaj,Republican Party,U.S. Senate,,South Windsor,17,Timothy Edwards School -
Themis Klarides,Republican Party,U.S. Senate,,South Windsor,88,Timothy Edwards School -
Maritza Bond,Democratic Party,Secretary of the State,,Waterbury,32,Tinker School
Stephanie Thomas,Democratic Party,Secretary of the State,,Waterbury,56,Tinker School
Dita Bhargava,Democratic Party,Treasurer,,Waterbury,14,Tinker School
Erick Russell,Democratic Party,Treasurer,,Waterbury,49,Tinker School
Karen Dubois-Walton,Democratic Party,Treasurer,,Waterbury,22,Tinker School
Dominic Rapini,Republican Party,Secretary of the State,,Waterbury,78,Tinker School
Terrie E. Wood,Republican Party,Secretary of the State,,Waterbury,41,Tinker School
Leora R. Levy,Republican Party,U.S. Senate,,Waterbury,58,Tinker School
Peter Lumaj,Republican Party,U.S. Senate,,Waterbury,10,Tinker School
Themis Klarides,Republican Party,U.S. Senate,,Waterbury,65,Tinker School
Maritza Bond,Democratic Party,Secretary of the State,,Plainville,17,Toffolon School
Stephanie Thomas,Democratic Party,Secretary of the State,,Plainville,49,Toffolon School
Dita Bhargava,Democratic Party,Treasurer,,Plainville,16,Toffolon School
Erick Russell,Democratic Party,Treasurer,,Plainville,41,Toffolon School
Karen Dubois-Walton,Democratic Party,Treasurer,,Plainville,10,Toffolon School
Dominic Rapini,Republican Party,Secretary of the State,,Plainville,69,Toffolon School
Terrie E. Wood,Republican Party,Secretary of the State,,Plainville,50,Toffolon School
Leora R. Levy,Republican Party,U.S. Senate,,Plainville,70,Toffolon School
Peter Lumaj,Republican Party,U.S. Senate,,Plainville,22,Toffolon School
